Företagsnamn,Organisationsnummer,Telefonnummer,Adress
AUDITORIUM SC D.O.O.,502097-6295,,Ljubljanska Cesta 45a 1241 Kamnik
SNITBYGG OÜ,502098-8639,,"Kalda Tn 36 Haapsalu, 90503"
MADE+ HOFFMANN BECKER PARTNERSCHAFT MBB ARCHITEKTEN,502099-3555,,Vossstrasse 11a De-30161 Hannover
CA INTERIOR DESIGN LTD,502099-4611,,"Brooklands Place 5, Brooklands Road Sale, Cheshire, M33 3sd"
PAKROSTA UAB,502101-2900,,Kairiu G. 14 K8-12 Lt-76273 Siauliai
FOKUS RÅDGIVNING AS,502102-0044,,Leif Tronstads Plass 6 1337 Sandvika
ERIK GIUDICE ARCHITECTURE SARL,502102-0051,,5 Rue De Charonne 75011 Paris
KINNOVA OY,502102-4210,,Perätie 6 40270 Palokka
ALLIES AND MORRISON LLP,502102-6694,,"83-85 Southwark Street London, Se1 0hx"
"Unison Brothers Ltd, UK Filial",516404-5360,,"Mariedalsvägen 32 c, 217 45 Malmö"
LPO arkitekter Bohuslän filial,516410-1353,,"Storemyrsvägen 2, 457 31 Tanumshede"
HANSSON CONSULTING LIMITED UK Filial,516411-2459,,"Smidesvägen 8 b Lgh 1305, 186 48 Vallentuna"
Chain10 Sweden filial,516412-5733,,"Bondevägen 113, 352 53 Växjö"
VASAROS LAIKAS Filial,516412-7846,,"Svärdvägen 21, 182 33 Danderyd"
LA MANGA INVEST LIMITED UK Filial,516413-7522,,"Sandhamnsgatan 63 a 2 Tr, 115 28 Stockholm"
Kamyar Seydiyan,070404-XXXX,,"Ebbe Lieberathsgatan 22 f Lgh 1203, 412 83 Göteborg"
Paragus AB,556062-4008,,"Kråkbärsvägen 12, 904 34 Umeå"
Rebelliv AB,556077-6519,Telefon 070-269 08 05,"Björngårdsgatan 2 d, 118 52 Stockholm"
Rstudio Holding AB,556093-8747,,"Andra Långgatan 46, 413 18 Göteborg"
MoJ Collection AB,556100-5793,Telefon 08-18 63 18,"Torp Hagadal 1, 342 55 Grimslöv"
OLSSONLYCKEFORS ARKITEKTER AB,556105-4551,,"Hälsingegatan 12, 414 63 Göteborg"
Civitas Nova AB,556110-8076,Telefon 08-550 977 90,"Alströmergatan 36, 112 47 Stockholm"
von Platen Arkitektbyrå AB,556112-8264,,"Nicolaus Cervins Gata 11, 254 33 Helsingborg"
Butiksplanerarna Jansson - Sedström AB,556127-2054,Telefon 08-20 28 32,"Flodalavägen 11, 335 71 Hestra"
Tectus Aktiebolag,556131-0185,Telefon 031-776 51 20,"Kristinelundsgatan 3 1tr, 411 37 Göteborg"
Novum Arkitekter AB,556133-5182,Telefon 08-89 47 03,"Nockeby Kyrkväg 41 Lägnr 20902, 167 74 Bromma"
Sture Sjöman Arkitektkontor Aktiebolag,556136-2558,Telefon 031-15 92 00,"Särö Kaprifolväg 3, 429 42 Särö"
Bengt Hellborg Arkitektkontor Aktiebolag,556136-5635,,Malmö
Lasse Wessén Aktiebolag,556151-1865,Telefon 08-87 14 65,"Peringskiöldsvägen 67, 168 56 Bromma"
R. Lundgrens Arkitektkontor Aktiebolag,556162-6739,,"Persgatan 14, 941 31 Piteå"
Skattungs Dekorationsmåleri AB,556163-7538,,"Hägerstad Säby Ekholmen, 590 47 Rimforsa"
Arkform Aktiebolag,556163-8924,Telefon 08-612 23 39,"Rosendalsvägen 27, 115 21 Stockholm"
A L'Olivier AB,556164-8469,,"Grev Turegatan 8, 114 46 Stockholm"
"Interiör & Design, Tony Fältman Aktiebolag",556172-8675,Telefon 044-12 34 35,"Gärdsgatan 10, 291 59 Kristianstad"
Danderyds Arkitekt och Ingenjörsbyrå Aktiebolag,556187-5849,,"Kevinge Strand 7 c, 182 57 Danderyd"
Bruno Sjödin Aktiebolag,556190-6958,Telefon 0303-526 38,"Stensängen 190, 444 92 Jörlanda"
Granströms Arkitektkontor Aktiebolag,556205-6878,Telefon 08-93 03 10,"Gråhundsvägen 204, 128 62 Sköndal"
Sonja Lilljegren Ögonpraktik Aktiebolag,556213-7637,,"Koltrastvägen 15, 183 51 Täby"
Sundström Konsult Aktiebolag,556218-5644,Telefon 070-566 75 00,"Ulvebergsvägen 10, 471 30 Skärhamn"
T.S. Arkitekt Aktiebolag,556221-9476,Telefon 08-714 54 74,"Gustavslundsvägen 149 t, 167 51 Bromma"
Twice i Vara Aktiebolag,556222-0920,Telefon 0512-340 56,"Naum Östtorp 1, 534 94 Vara"
Habitat Aktiebolag,556222-2892,,"Terrassgatan 7 5tr, 411 33 Göteborg"
Stacken Aktiebolag,556229-2366,Telefon 08-718 41 41,"Östra Ågatan 65 b, 753 22 Uppsala"
Dahlian Holding Aktiebolag,556231-2370,Telefon 08-723 47 51,"Storgatan 12, 114 51 Stockholm"
Anova Arkitekter Aktiebolag,556233-0638,,"Sälgstigen 37, 149 50 Nynäshamn"
Olivegren Form Aktiebolag,556233-1081,Telefon 070-899 12 99,"Fågelfängaregatan 18, 414 75 Göteborg"
Second Century Dahl AB,556234-8697,,"Gästrikegatan 12 Lgh 1303, 113 62 Stockholm"
Kaizi Home & Design AB,556241-0125,,"Stävholmsgränd 97, 127 49 Skärholmen"
Centerwall & Co Aktiebolag,556241-9548,Telefon 031-40 34 86,"Brödragatan 62, 412 74 Göteborg"
VARIETÉ Sthlm AB,556242-5057,Telefon 021-18 72 84,"Babordsgatan 6 a Lgh 1605, 723 59 Västerås"
Larsson Larsson Arkitektkontor Aktiebolag,556253-5731,Telefon 070-733 36 35,"Kungsholmstorg 4 5tr, 112 21 Stockholm"
Dan Johanssons Arkitektkontor Aktiebolag,556257-1363,Telefon 036-12 06 82,"c/o Mats Landén, Ormanäs 1, 575 98 Hjältevad"
Sofia Hultén AB,556259-6022,Telefon 031-17 28 90,"Taptogatan 6, 426 76 Västra Frölunda"
"Alnäs Teknik, Arkitektur och Design AB",556265-1181,Telefon 08-714 54 70,"Alnäsvägen 7, 170 78 Solna"
Fröléns Arkitektkontor Aktiebolag,556265-8418,Telefon 08-667 98 80,"Slottsvägen 69, 183 52 Täby"
Wibroe & Wibroe Arkitekter Aktiebolag,556267-8333,,"Kristina Nilssons Väg 24, 352 39 Växjö"
UNV i Uppsala AB,556268-5056,Telefon 018-54 03 80,"Klippstigen 1, 755 91 Uppsala"
Anders Bellander Arkitektkontor Aktiebolag,556272-8690,,"Södra Vägen 41, 412 54 Göteborg"
Sport Coordinator Aktiebolag,556274-4598,Telefon 070-314 62 96,"Norrbyvägen 10, 186 97 Brottby"
Torbjörn H. Vogt Aktiebolag,556274-6288,,"Stortorget 1, 111 29 Stockholm"
Fastighetsaktiebolaget Kungstorget,556278-3208,,"Sankt Mikaelsgatan 2 a Lgh 1202, 451 40 Uddevalla"
Aktiebolaget Lotta Jansson Noremark,556280-6363,Telefon 08-411 10 72,"Pålsundsgatan 3 a, 117 31 Stockholm"
Stefan Joelsson Byggkonsult Aktiebolag,556286-0741,Telefon 0481-121 69,"Karlagatan 3, 382 32 Nybro"
Medark Aktiebolag,556287-1367,,"Klappbryggan 41, 184 53 Åkersberga"
Ohlbro Förvaltning Aktiebolag,556291-1486,,"Jutegatan 1, 507 34 Brämhult"
Neuroarkitektur Sverige AB,556295-2423,Telefon 08-755 10 50,"Germaniavägen 9, 182 68 Djursholm"
Chateau Ott AB,556295-6028,Telefon 031-20 96 30,"Tillfällavägen 15 1tr, 433 63 Sävedalen"
Tobé arkitektkontor Aktiebolag,556296-1341,Telefon 0910-188 25,"Rågvägen 27, 931 45 Skellefteå"
Astrantius Aktiebolag,556297-2488,,"c/o Julia Brandberg, Bodalsvägen 6, 181 36 Lidingö"
Fastighets AB Kronosund,556300-1915,Telefon 042-19 96 20,"Rådhustorget 10, 252 21 Helsingborg"
CORECT AB,556301-9909,,"Sälthult Stavsmyra, 635 14 Eskilstuna"
Svante Hofsten Arkitektkontor Aktiebolag,556303-9709,Telefon 08-616 83 35,"Reimersholmsgatan 25 Bv, 117 40 Stockholm"
A-plan Arkitektkontor Aktiebolag,556304-0772,Telefon 046-13 07 47,"Adelgatan 9, 223 50 Lund"
STJERNAN Arkitektkontor Aktiebolag,556305-2900,Telefon 070-874 21 18,"Knektvägen 12, 196 39 Kungsängen"
Ivan Nilsson Förvaltning Aktiebolag,556306-0077,,"Mjörn Sjögårdsviksvägen 3, 471 73 Mjörn"
4RK ARKITEKTKONTOR AB,556307-9754,Telefon 070-951 49 93,"Tegnérgatan 14 a, 113 58 Stockholm"
Rerum i Göteborg AB,556308-7310,Telefon 0476-129 91,"Järnvägsgatan 14, 243 30 Höör"
Claes Kock Aktiebolag,556309-2427,,"Östgötagatan 83, 116 64 Stockholm"
Plain House AB,556310-5880,Telefon 08-642 98 74,"Råggatan 4, 118 59 Stockholm"
Aktiebolaget Sjömiljö,556311-3462,,"Stefan Löfvings Väg 47, 185 41 Vaxholm"
SMVoS AB,556314-3923,,Göteborg
Ädelsmed Sigurd Persson Design Aktiebolag,556316-0927,Telefon 042-13 87 30,"Västra Sandgatan 10, 252 25 Helsingborg"
Promep Inredningar Aktiebolag,556316-1404,,"Persikogatan 50 3 Tr, 165 63 Hässelby"
Arkitektkontoret Björn Sahlén Aktiebolag,556319-7515,Telefon 031-18 90 95,"Chalmersgatan 9 a, 411 35 Göteborg"
Arkitektgruppen i Kungsbacka Aktiebolag,556322-9722,,"Kobergsgatan 3, 434 33 Kungsbacka"
F Alaton Aktiebolag,556330-6009,,"Värtavägen 53 b Lgh 2101, 115 38 Stockholm"
Molnskulla AB,556333-0520,,"c/o Welin, Genvägen 3 a, 835 31 Krokom"
NAUMOVSKI ARKITEKTUR & BILD Aktiebolag,556333-2633,,"Kävlingevägen 26, 222 39 Lund"
Blattez 66 Malmgren AB,556345-1110,,"Vingårdsgatan 8, 117 58 Stockholm"
Fredrik Axelson Arkitektkontor AB,556346-5623,Telefon 070-814 06 87,"Fagerstrand 16, 165 71 Hässelby"
Green River AB,556346-5896,,"Stora Vägen 59, 475 45 Fotö"
Best Team Around Norden AB,556346-6365,Telefon 070-813 66 00,"Vallgatan 18, 456 51 Smögen"
Elan Design Aktiebolag,556358-2096,Telefon 08-731 82 71,"Sturevägen 7, 181 33 Lidingö"
LarsGöran Thambert Arkitekt Aktiebolag,556359-2681,Telefon 08-25 15 90,"c/o Svenska Standardbolag AB, Box 292, 791 27 Falun"
Crux AB,556364-1215,Telefon 072-245 92 27,"Allmänna Vägen 18 b, 414 60 Göteborg"
Mr Meadow AB,556365-7245,,"Rehnsgatan 22, 113 57 Stockholm"
ÅLE-Plåtslageri Aktiebolag,556366-8176,Telefon 08-618 04 70,"Tallbovägen 6 a, 737 90 Ängelsberg"
Byggtonvillan AB,556378-0500,Telefon 0372-240 46,"Odensjö-Ryd 1, 341 72 Lidhult"
Marketon Aktiebolag,556386-9758,Telefon 08-714 92 90,"Höjdvägen 19, 132 42 Saltsjö-Boo"
PARDINA Aktiebolag,556387-5953,Telefon 070-817 56 99,"Tunnlandsvägen 89, 168 36 Bromma"
Anla Arkitekt Förvaltning Aktiebolag,556388-0177,Telefon 08-679 90 60,"Alsnögatan 12, 116 47 Stockholm"
Jan Tellving Aktiebolag,556400-6343,,"Drottninggatan 92, 252 21 Helsingborg"
Shape Design Stockholm AB,556405-0390,,"c/o Citadellet Likvidationer AB (15958), Strandgatan 7, 185 32 Vaxholm"
La Parc Aktiebolag,556409-1394,,"Torkel Knutssonsgatan 33, 118 49 Stockholm"
Pettson Arkitektur och Snickeri Aktiebolag,556411-0186,,"Gröndalsvägen 48, 117 68 Stockholm"
Arkvision AB,556412-2157,,"Kyrkogatan 13, 745 31 Enköping"
Emma Imagine Interior AB,556412-8873,Telefon 073-685 24 50,"Norumsgärde 177, 417 45 Göteborg"
Anders Törnqvist Arkitektkontor Aktiebolag,556418-3142,,"Väggavägen 14, 374 30 Karlshamn"
FOJAB Exit Arkitektur AB,556422-6032,,"Hallenborgs Gata 1 a, 211 19 Malmö"
Ark & Väv Aktiebolag,556422-8988,,"Slottsgatan 4 a, 611 32 Nyköping"
Roger Nord Arkitektkontor Aktiebolag,556423-3616,Telefon 08-580 302 72,"Alphyddevägen 67, 131 35 Nacka"
Brunnberg & Forshed Förvaltnings Aktiebolag,556424-1049,Telefon 08-617 61 00,"Linnégatan 89 b, 115 23 Stockholm"
Aktiebolaget Ohlssons Tyger & Stuvar i Norrbotten,556424-9190,Telefon 090-70 14 04,"Gräddvägen 29, 906 20 Umeå"
Arkilag arkitekter Aktiebolag,556425-8217,,"Gånsvikshamn 141, 871 66 Härnösand"
Leif Leandertz Arkitektkontor Aktiebolag,556426-7713,Telefon 011-16 50 20,"Örtugsgatan 150, 603 79 Norrköping"
Momentum Form AB,556430-4441,Telefon 08-715 77 22,"Sandstensvägen 21, 167 64 Bromma"
Resurs Hantverkarna i Stockholm AB,556434-6988,Telefon 070-526 20 60,"Styrmansg. 52, Stockholm"
Z Arkitektkontor Aktiebolag,556442-2540,Telefon 08-508 660 20,"Odelbergsvägen 9, 120 47 Enskede Gård"
Skedevi Holding AB,556442-6459,Telefon 08-545 785 30,"Rålambsvägen 17 Plan 15, 112 59 Stockholm"
Vattensängsfabriken i Stockholm AB,556446-3742,,"Magnus Ladulåsgatan 29, 118 65 Stockholm"
Janark i Nyköping Aktiebolag,556449-4580,,"Östra Trädgårdsgatan 1, 611 34 Nyköping"
Wilquin Inredningar Aktiebolag,556449-7161,Telefon 08-442 93 43,"Drottninggatan 89, 113 60 Stockholm"
Berg & Berg Arkitekter Aktiebolag,556449-7922,Telefon 08-555 760 23,"Orrvägen 13, 135 53 Tyresö"
Kreark Arkitekter AB,556451-6754,,"Gräshoppevägen 3, 296 33 Åhus"
A Lindgren Energi Aktiebolag,556456-4309,,"Porsnäsvägen 56, 945 31 Norrfjärden"
Mayoho Make your home AB,556458-0453,Telefon 08-550 101 29,"Yngerstrand 1 Yngersnäs, 641 98 Björkvik"
Marie Ericsson Arkitektkontor Aktiebolag,556461-2728,,"Klangvägen 31, 224 72 Lund"
Davidson Billing Arkitekter AB,556462-2784,Telefon 070-924 45 05,"Havsfruvägen 31, 167 62 Bromma"
LaLena design & produktion AB,556466-2947,,"Östbo 925, 826 93 Söderhamn"
Aktiebolaget S.A. Ekelund & Co,556471-4979,,"Falkenbergsgatan 1 b Läg 1301, 432 51 Varberg"
Henrik Rundquist Arkitektkontor Aktiebolag,556478-3560,Telefon 08-545 132 80,"Renstiernas Gata 12 2, 116 28 Stockholm"
Cullberg Arkitektkontor Aktiebolag,556483-7861,Telefon 070-456 26 09,"Drottninggatan 31 1tr, 432 44 Varberg"
Enterprise Europe AB,556489-4854,Telefon 0297-410 11,"Hagvägen 32, 816 31 Ockelbo"
Famstri Topco AB,556490-1147,,"Nygatan 1, 542 37 Mariestad"
Johan Ahnborg Arkitektkontor AB,556490-4836,,"Törnrosvägen 15, 181 61 Lidingö"
Per Westerberg Aktiebolag,556490-9652,Telefon 070-815 67 56,"Sågvägen 36, 184 40 Åkersberga"
Hunnebåden Förvaltning AB,556494-1622,Telefon 031-69 07 30,"Sisjö Gibraltargatan 62, 412 58 Göteborg"
WARK AB,556495-4567,Telefon 031-10 13 70,"c/o Wingårdh Arkitektkontor AB, Kungsgatan 10 a, 411 19 Göteborg"
Movement Agency AB,556496-4269,Telefon 019-24 44 81,"c/o Wåhlström, Döbelnsgatan 51, 113 52 Stockholm"
Per Aase Aktiebolag,556497-6057,,"Rörstrandsgatan 27, 113 41 Stockholm"
Meter Arkitektur Aktiebolag,556506-0232,,"Södra Viktoriagatan 29 b, 411 25 Göteborg"
Read arkitekter AB,556506-2303,,"Norr Mälarstrand 90 4tr, 112 35 Stockholm"
Johan Linder Arkitektkontor Aktiebolag,556507-2229,Telefon 08-668 98 06,"Mjärdgränd 3, 116 68 Stockholm"
REFIA Aktiebolag,556507-5313,,"Skarpängsvägen 41, 187 41 Täby"
2KA 2 Karsman Arkitekter Aktiebolag,556507-8788,,"S:T Eriksg 33 Ög Iv, 112 39 Stockholm"
Arkiana Arkitektkontor AB,556515-8937,Telefon 08-791 99 44,"Turbinvägen 6, 131 60 Nacka"
Berndtsson arkitekter AB,556516-0909,Telefon 08-616 83 20,"Drottning Kristinas Väg 33 a, 114 28 Stockholm"
Shreddingers katt 16 AB,556517-8448,,"Triangelvägen 18, 122 32 Enskede"
Böving & Kinnmark Arkitektkontor Aktiebolag,556519-8057,,"Berghamnsvägen 39, 137 70 Dalarö"
CAEMdesign AB,556521-2270,Telefon 036-30 02 42,"Hokvägen 6, 567 32 Vaggeryd"
Per Osvalds Arkitekt AB,556521-2437,Telefon 031-41 61 03,"Järnbrottsgatan 34, 426 68 Västra Frölunda"
Lindsten&Vasa AB,556521-5851,Telefon 031-17 98 60,"Fallvägen 12, 423 38 Torslanda"
01 Moderna Badrumsrenoveringar AB,556523-4191,,Stockholm
CM ArchHold AB,556523-8077,Telefon 070-962 29 33,"Kastellgatan 12 a, 411 22 Göteborg"
Makalösa Compagniet AB,556526-5492,Telefon 031-16 56 20,"Alfagatan 22, 431 49 Mölndal"
SATSA b.r.a. Innovation Jönköping AB,556527-1466,Telefon 036-16 01 25,"Stattutgatan 14, 554 47 Jönköping"
S. O'Brien AB,556528-2422,,"Broddvägen 42, 136 73 Vendelsö"
Pär Svensson Arkitektkontor AB,556531-1445,Telefon 0380-734 10,"Storgatan 61 c, 571 33 Nässjö"
MONEA PROJECTS AB,556534-0055,,"Rensbo-Håvran 339, 776 92 Hedemora"
Bobet Aktiebolag,556535-7968,,"Kristianstadsgatan 16, 214 23 Malmö"
Ergate Design AB,556544-6464,,"c/o ERGATE FASTIGHETS AB, Tegnersgatan 10 Lgh 1301, 412 52 Göteborg"
Jonsson & Jonsson Arkitekter AB,556544-7710,,"Östgårdsvägen 11, 178 54 Ekerö"
Kaizen AB,556547-9127,,"Boo Strandväg 24, 132 36 Saltsjö-Boo"
Mirre Gustafsson & Co Interiör AB,556552-9822,Telefon 070-670 26 03,"Gibraltargatan 8, 411 32 Göteborg"
RIHAB SOLCELL AB,556554-7220,,"Sulfatvägen 8, 972 51 Luleå"
Columbi Medical Sweden AB,556557-6526,Telefon 070-973 39 40,Stockholm
Catharina Kärrbrand Mode & Design i Gbg AB,556563-4671,Telefon 031-702 14 21,"Golfbanevägen 37, 436 50 Hovås"
Garderobsmakarna AB,556564-6410,,"Vanadisvägen 5, 113 46 Stockholm"
Gümac Arkitekt/Ingenjörskontor AB,556567-8132,,"Sommarvägen 9, 616 33 Åby"
CCnord AB,556569-3438,,"Ringvägen 26, 187 70 Täby"
Malö Förvaltnings AB,556570-4664,,"Kungsviken 940, 473 99 Henån"
Michal P Arkitekter Aktiebolag,556572-9695,,"Klostervägen 9, 132 46 Saltsjö-Boo"
Johan Meisel Arkitektur AB,556573-1733,Telefon 073-663 11 56,"Erkenskroken 26, 120 54 Årsta"
GOTE BRON Aktiebolag,556577-9641,Telefon 031-68 35 68,"Ingrid Wallbergs Gata 63, 415 26 Göteborg"
Svante Bengtsson arkitektkontor AB,556580-9323,Telefon 08-33 90 80,"Kammakargatan 12 Bv, 111 40 Stockholm"
K.M. Camitz & Camitz AB,556581-3978,,"S:T Johannesgatan 23 e, 753 12 Uppsala"
Humla Marketing AB,556584-0898,,"Svampskogsvägen 15, 186 55 Vallentuna"
Lareke & Co AB,556586-4914,Telefon 040-46 70 44,"Hagagatan 16, 271 32 Ystad"
Petersdottir Arkitekter AB,556587-0770,Telefon 08-506 016 33,"Svarvargatan 1, 112 49 Stockholm"
Maghan Design AB,556587-1364,,"c/o Svenska Standardbolag AB, Box 292, 791 27 Falun"
Ellen Arkitekter AB,556587-4426,Telefon 070-713 20 96,"Vittravägen 28, 132 39 Saltsjö-Boo"
BTC INTERNATIONAL AB,556588-9705,,"Vikingavägen 17 d, 133 33 Saltsjöbaden"
WESTROW AB,556589-3889,,"Döbelnsgatan 51, 113 52 Stockholm"
Bygg Konsult TeG Aktiebolag,556590-3696,Telefon 0920-142 50,"Björnhällevägen 17 17, 975 95 Luleå"
Gynoform AB,556590-8570,Telefon 08-717 65 70,"Stora Vägen 3, 365 43 Kosta"
"AD, Analys & Design AB",556595-8575,Telefon 08-568 495 30,"c/o Welin, Genvägen 3 a, 835 31 Krokom"
Mandrake Arkitekter AB,556597-4515,Telefon 08-411 88 90,"Luntmakargatan 15, 111 37 Stockholm"
JA Ark Syd AB,556598-1171,Telefon 0455-807 00,"Stortorget 10 3tr, 371 13 Karlskrona"
Olov Gynt Arkitektkontor AB,556599-1121,Telefon 021-14 43 00,"Hantverkargatan 10, 722 12 Västerås"
Carlsson Belfrage arkitektkontor AB,556599-1352,,"Töpelsgatan 6 b 1 Tr, 416 55 Göteborg"
Maria Sahlstrand Arkitektkontor AB,556601-3362,Telefon 070-839 34 35,"Högbergsgatan 72, 118 54 Stockholm"
JL Arkitektur- och Byggprojektering i Malmö AB,556604-5984,,"Oxelvägen 7, 263 62 Viken"
Xnova AB,556604-8640,Telefon 073-811 30 50,"Sveavägen 22 Företagshuset, 544 50 Hjo"
Pär Larsson Förvaltnings Aktiebolag,556606-5412,,"Östra Ofors 44, 780 64 Lima"
Fojab coordinator AB,556607-1766,,"Hallenborgs Gata 1 a, 211 19 Malmö"
Castenfors Arkitekter AB,556611-2511,,"Saltsjögränd 5, 133 35 Saltsjöbaden"
KUB arkitekter AB,556611-8302,Telefon 031-10 56 50,"Drottninggatan 56 6tr, 411 07 Göteborg"
AB Sjuskrapan Holding,556621-3087,Telefon 070-521 00 23,"Ärenprisgatan 19, 416 52 Göteborg"
3Solutions AB,556631-3515,Telefon 08-519 701 14,"Krusenberg Ekshagarna 479, 741 76 Uppsala"
Gränsland Båtcharter AB,556634-6507,,"Klockaregatan 2, 452 30 Strömstad"
PODARCH AB,556634-9592,Telefon 070-799 84 88,"Skeppargatan 18 3tr, 114 52 Stockholm"
Ellsinger Arkitektkontor AB,556638-2494,Telefon 031-10 20 70,"Sotenäsvägen 9, 433 60 Sävedalen"
Creoform Development AB,556641-9080,,"Stenvägen 3, 734 32 Hallstahammar"
Conova Management AB,556648-3342,Telefon 031-88 79 90,"Smuttenvägen 5, 430 81 Köpstadsö"
Sandbergs Teknik och Byggkonsult AB,556649-5304,,"Kolonigatan 28, 671 50 Arvika"
Scandie of Sweden AB,556650-1630,,"Björnbergsvägen 8, 132 39 Saltsjö-Boo"
Good Afternoon Production AB,556650-1937,,"Lorichsvägen 5 d, 791 37 Falun"
Hofvenschiöld Arkitekter AB,556653-9283,Telefon 031-788 09 40,"Ölmanäs Ringväg 336, 439 52 Åsa"
Lolo Törnblom AB,556653-9531,Telefon 070-833 03 96,"Gotlandsgatan 76 a, 116 38 Stockholm"
Studio Form och design i Sverige AB,556660-4087,,"Grubbensringen 6, 112 69 Stockholm"
Kungsbro Consulting AB,556660-5225,,"Bergsbadsvägen 4, 585 77 Vreta Kloster"
twisted creatives AB,556663-2559,,"Gärdesgatan 10, 343 32 Älmhult"
Architects and Friends Lund AB,556664-5403,Telefon 073-396 96 31,"Kävlingevägen 34 a, 222 39 Lund"
Löfstrand arkitektkontor AB,556666-0097,,"Växelgatan 11, 826 40 Söderhamn"
PRESENZA AB,556666-4453,,"Erik Dahlbergsgatan 26, 115 32 Stockholm"
Censo Aktiebolag,556670-0075,,"Ängsstigen 6, 439 53 Åsa"
Liljekonvalj design och trädgård AB,556674-3125,Telefon 042-32 77 70,"Utskiftesvägen 20, 269 34 Båstad"
Promep Interiör Design AB,556674-9593,Telefon 08-756 02 86,"Persikogatan 50 3 Tr, 165 63 Hässelby"
Lundgrens Handymen AB,556677-4104,,"c/o Hendrik Lundgren, Åsgårdsvägen 30, 191 64 Sollentuna"
FRANDVIK AB,556679-9366,Telefon 070-557 47 48,"Sjövägen 3 Bingsmarken, 274 54 Skivarp"
Jaksa AB,556683-2852,,"Uppsalavägen 25, 193 34 Sigtuna"
Intentionelle AB,556684-4824,,"Sturegatan 16 b, 752 23 Uppsala"
Promineo Consulting AB,556685-1548,Telefon 073-381 68 98,"Västeråsgatan 5 4tr, 113 43 Stockholm"
Papagaio AB,556689-4357,Telefon 070-797 77 65,"Hammarby Slussväg 2, 118 60 Stockholm"
Gröna Porten Landskapsarkitekter AB,556691-6424,Telefon 0431-45 47 31,"Svenstorpsvägen 105, 266 98 Hjärnarp"
Scandinavia Invest Group AB,556692-9021,Telefon 031-724 43 43,"c/o VisionLine Future AB, Södra Långebergsgatan 20, 436 32 Askim"
Noreal AB,556696-2022,,Stockholm
Charlotta Kazi AB,556697-6972,Telefon 073-352 57 83,"Lilla Brogatan 9, 503 30 Borås"
Elinore Interiors AB,556700-6456,Telefon 070-857 00 17,Stockholm
Hewik AB,556703-1694,,"Valhallavägen 164, 115 24 Stockholm"
Björner & Co AB,556704-1578,Telefon 031-29 96 07,"Kyrkogatan 5 b, 433 75 Jonsered"
Q-Nowa Mälardalen AB,556704-5090,,"Jägaråsvägen 102, 736 93 Kungsör"
JAMES Jim Hagelin Arkitekt AB,556706-0172,Telefon 073-811 48 68,Norsborg
Källström Trä & Marin AB,556706-0552,,"Rösundavägen 4, 133 36 Saltsjöbaden"
Saarela Arkitektkontor AB,556708-2580,Telefon 016-12 43 07,"Åsvägen 54, 644 36 Torshälla"
0502Y Design AB,556712-0224,Telefon 076-006 93 91,"Loka Gränd 18, 702 28 Örebro"
Arkitektur Reform OL&JS AB,556714-3119,Telefon 070-583 97 05,"Lodbroks Väg 1, 237 31 Bjärred"
Invalidictorian AB,556714-3689,,"Solbacken 4, 139 36 Värmdö"
Limber Projects AB,556715-2904,Telefon 070-524 80 55,"Östersättra 8, 153 96 Mölnbo"
C.Nilsson Form AB,556715-3480,Telefon 0647-323 29,"Skeppargatan 18, 904 31 Umeå"
Stall Englagaard AB,556719-1258,,"Kyrkogatan 6, 274 34 Skurup"
Malin Åbergs Arkitektkontor AB,556723-0361,,"Göteborgsvägen 73 a, 433 63 Sävedalen"
Noviga Research AB,556725-0450,Telefon 070-850 36 50,"Box 270, 851 04 Sundsvall"
Culemand AB,556729-1157,,"Enebacken 6, 471 33 Skärhamn"
Origin places AB,556730-0479,Telefon 070-833 65 89,"Polhemsgatan 25, 112 30 Stockholm"
SWEDIEC GROUP AB,556733-1482,Telefon 070-587 73 70,"Skeppar Karls Gränd 14 a, 871 34 Härnösand"
Staffan Holfelt Arkitekter AB,556735-4930,,"Krabbvägen 12, 269 78 Torekov"
Slutplattan HAMLO 127130 AB,556737-6883,,"Kungstorget 2, 411 17 Göteborg"
Drista Holding AB,556738-4606,Telefon 031-20 50 00,Göteborg
La Pelota Fastigheter AB,556739-0231,,"Munkerödsvägen 4 a, 444 32 Stenungsund"
Smånsk AB,556739-7061,,"Bältgatan 7, 252 71 Råå"
Glamliving AB,556743-8428,Telefon 073-030 00 00,"c/o Robert Glamin, Drivhusgatan 8, 254 74 Ödåkra"
Evata Development AB,556744-1679,,"Katarina Kyrkobacke 8, 116 20 Stockholm"
Mr Bennis AB,556746-3376,,Stockholm
Bara Fördelar Aktiebolag,556747-7681,Telefon 070-861 02 79,"c/o Liebert, Kastellgatan 12 a, 411 22 Göteborg"
Fastighetsbolaget Luben AB,556750-3452,,"Mallslingan 8, 187 66 Täby"
Architects and Friends Helsingborg AB,556751-4087,,"Örtagårdsgatan 54, 254 50 Helsingborg"
Rue de Cambon AB,556752-3484,,"Sjökullens Väg 5, 133 35 Saltsjöbaden"
Hoppsan Design AB,556752-4722,Telefon 031-88 05 58,"Analysvägen 1, 435 33 Mölnlycke"
Robert Palm Fastighetsförmedling AB,556753-4127,Telefon 08-410 432 90,"Klöver Vägen 4, 133 36 Saltsjöbaden"
Floristerna Åre AB,556754-8051,Telefon 070-300 78 05,"Västergårdsvägen 20, 475 37 Bohus-Björkö"
